時間,開盤,最高,最低,收盤,成交量
2020-01-01 00:00:00,129.14,129.14,128.73,128.88,5406.759
2020-01-01 01:00:00,128.87,130.57,128.84,130.57,6640.373
2020-01-01 02:00:00,130.61,130.89,130.35,130.82,6709.741
2020-01-01 03:00:00,130.82,130.83,129.97,130.12,6328.174
2020-01-01 04:00:00,130.2,130.66,130.16,130.19,7254.984
2020-01-01 05:00:00,130.21,130.41,130.09,130.32,6173.481
2020-01-01 06:00:00,130.31,130.67,130.31,130.41,5414.835
2020-01-01 07:00:00,130.42,130.61,130.15,130.27,6046.66
2020-01-01 08:00:00,130.23,130.33,129.94,130.33,4657.458
2020-01-01 09:00:00,130.34,130.53,130.14,130.15,4806.594
2020-01-01 10:00:00,130.13,130.75,130.11,130.64,3985.456
2020-01-01 11:00:00,130.64,131.95,130.55,130.7,6470.104
2020-01-01 12:00:00,130.7,131.57,130.7,131.55,6125.148
2020-01-01 13:00:00,131.54,131.83,131.31,131.63,6101.484
2020-01-01 14:00:00,131.63,132.28,131.27,131.83,6987.362
2020-01-01 15:00:00,131.93,132.37,131.62,132.0,6830.794
2020-01-01 16:00:00,132.05,132.88,131.87,132.84,6332.935
2020-01-01 17:00:00,132.85,133.0,132.26,132.37,6883.487
2020-01-01 18:00:00,132.38,132.44,131.67,132.04,6575.686
2020-01-01 19:00:00,131.87,132.11,131.67,131.87,6793.27
2020-01-01 20:00:00,131.87,131.97,131.78,131.82,2291.974
2020-01-01 21:00:00,131.82,132.07,131.82,132.07,45.691
2020-01-01 22:00:00,131.77,132.07,129.57,130.37,5182.729
2020-01-01 23:00:00,130.29,130.59,129.89,130.55,5976.567
2020-01-02 00:00:00,130.5,130.55,130.5,130.55,30.762
2020-01-02 01:00:00,130.5,130.55,130.15,130.23,4908.871
2020-01-02 02:00:00,130.21,130.21,128.89,129.67,6779.502
2020-01-02 03:00:00,129.61,129.61,128.54,129.11,6007.349
2020-01-02 04:00:00,129.11,129.87,128.78,129.59,3993.683
2020-01-02 05:00:00,129.61,129.71,129.3,129.57,5938.559
2020-01-02 06:00:00,129.47,129.86,129.19,129.4,6889.204
2020-01-02 07:00:00,129.42,129.57,128.87,129.27,7206.265
2020-01-02 08:00:00,129.28,130.21,129.28,130.16,6005.103
2020-01-02 09:00:00,130.1,130.1,129.59,129.92,5990.494
2020-01-02 10:00:00,129.95,130.2,129.68,129.71,7252.676
2020-01-02 11:00:00,129.7,129.94,129.49,129.61,6197.682
2020-01-02 12:00:00,129.6,129.98,129.6,129.95,5550.577
2020-01-02 13:00:00,129.91,129.96,129.02,129.49,6482.191
2020-01-02 14:00:00,129.44,129.81,129.22,129.4,6138.256
2020-01-02 15:00:00,129.4,129.76,129.4,129.61,7380.487
2020-01-02 16:00:00,129.6,129.74,127.0,127.72,8473.204
2020-01-02 17:00:00,127.68,127.68,126.56,127.4,6966.079
2020-01-02 18:00:00,127.38,127.65,127.18,127.51,4722.926
2020-01-02 19:00:00,127.5,127.61,127.16,127.58,7090.873
2020-01-02 20:00:00,127.57,127.59,126.82,127.25,6864.285
2020-01-02 21:00:00,127.27,127.8,127.25,127.72,6058.666
2020-01-02 22:00:00,127.73,127.73,127.29,127.38,6553.567
2020-01-02 23:00:00,127.39,127.47,126.98,127.17,6817.677
2020-01-03 00:00:00,127.12,127.61,126.9,127.05,6184.391
2020-01-03 01:00:00,127.06,127.09,125.96,126.06,4532.652
2020-01-03 02:00:00,126.08,126.99,126.02,126.96,524.234
2020-01-03 03:00:00,126.97,127.0,126.73,126.84,284.291
2020-01-03 04:00:00,126.9,129.98,126.9,129.31,3706.499
2020-01-03 05:00:00,129.46,129.93,128.8,129.25,951.725
2020-01-03 06:00:00,129.2,129.3,128.83,129.15,417.873
2020-01-03 07:00:00,129.19,129.47,128.81,128.9,761.93
2020-01-03 08:00:00,128.87,133.0,128.87,132.09,3442.285
2020-01-03 09:00:00,132.1,132.82,131.75,132.45,782.192
2020-01-03 10:00:00,132.39,132.72,131.64,132.06,621.934
2020-01-03 11:00:00,132.16,132.59,132.05,132.44,333.507
2020-01-03 12:00:00,132.54,132.75,131.93,132.21,151.355
2020-01-03 13:00:00,132.25,133.77,132.25,133.53,412.827
2020-01-03 14:00:00,133.53,133.72,131.17,131.68,1673.652
